SITE_DIR,SITE_NAME,PREFIX_SID,URL_FORMAT,THEME_NAME,DOMAIN
rexce1,akalu-rexce,h9-rexce-bb-rexce-akalu,.html,bb,akalu.rexce.com
rexce2,iss-rexce,h9-rexce-bb-rexce-iss,.html,bb,iss.rexce.com
rexce3,tonr-rexce,h9-rexce-bb-rexce-tonr,.html,bb,tonr.rexce.com
rexce4,iuske-rexce,h9-rexce-bb-rexce-iuske,.html,bb,iuske.rexce.com
rexce5,arise-rexce,h9-rexce-bb-rexce-arise,.html,bb,arise.rexce.com
rexce6,ibela-rexce,h9-rexce-bb-rexce-ibela,.html,bb,ibela.rexce.com
rexce7,smear-rexce,h9-rexce-bb-rexce-smear,.html,bb,smear.rexce.com
rexce8,oshyo-rexce,h9-rexce-bb-rexce-oshyo,.html,bb,oshyo.rexce.com
